staffID,firstName,lastName,username,password,email,departmentCode
56,Harper,Curie,harper.curie56,xC7#ZG..HwSlL0,hgaucher1j@freewebs.com,DMGMT
57,Harper,Faraday,harper.faraday57,dH5$KWveYOALru8,jincogna1k@canalblog.com,CLL
58,Emma,Galilei,emma.galilei58,"vN1)0Z,}Tzs""KF6n",rhaton1l@a8.net,DFILM
59,Emma,Ampere,emma.ampere59,"wA5,Ur#7mC*",esuttill1m@uiuc.edu,DCFA
60,Joseph,Xu Guangqi,joseph.xu guangqi60,fA1?g*6Rw91>ZI,rmcclaurie1n@washingtonpost.com,DEDU
61,Isabella,Pascal,isabella.pascal61,uJ6=Jd~l=k3a,dduce1o@biglobe.ne.jp,DFOOD
62,Olivia,Galilei,olivia.galilei62,pI9}*(AC.)wZ,rbrighouse1p@jiathis.com,DGEO
63,Matthew,Mendeleev,matthew.mendeleev63,jV3/$#KPowiyo%I,cmalec1q@woothemes.com,DAEE
64,William,Hawkins,william.hawkins64,xN7#a8O!6s/6{+,bsaleway1r@unblog.fr,DFILM
65,Daniel,Watt,daniel.watt65,yS6?fb+SUCMa,aprue1s@discuz.net,DLIT
66,Sophia,Hooke,sophia.hooke66,vL3{|&vC!a4f1,tnipper1t@japanpost.jp,DHIST
67,Olivia,Lavoisier,olivia.lavoisier67,"nE9$Xi3N}Uu""7B/",bsanpher1u@google.com,DCEE
68,Robert,Thomson,robert.thomson68,fJ2}w>(|gNHsK,zpettyfar1v@kickstarter.com,DCE
69,John,Bell,john.bell69,cE5>3AR%u,bgood1w@angelfire.com,DMME
70,Charlotte,Archimedes,charlotte.archimedes70,wR0|<gRVD=',twrangle1x@aboutads.info,DMS
71,Joseph,Galilei,joseph.galilei71,fD2{qrSO,chearst1y@cbc.ca,DCHEM
72,Ava,Hawkins,ava.hawkins72,rM1)MiXY,lfeehan1z@flavors.me,DPHYS
73,Andrew,Thomson,andrew.thomson73,oH4(E#WIihs<j,alatter20@youku.com,DLS
74,Robert,Heisenberg,robert.heisenberg74,hK2@M8MfF,smaneylaws21@thetimes.co.uk,DCIT
75,Amelia,Hawkins,amelia.hawkins75,aK7`W6.zOeC,zrecher22@canalblog.com,DPOL
76,David,Schrodinger,david.schrodinger76,"aO6|&m&N,t\",jduffett23@sina.com.cn,DBS
77,Ava,Einstein,ava.einstein77,"iB6`gB""aHqn@",hpardon24@gnu.org,DLAW
78,Charlotte,Mach,charlotte.mach78,hA5@d$9Riqm$%Eaa,rkelleway25@weather.com,DECON
79,Michael,Lavoisier,michael.lavoisier79,iK2|=+HV,tpipes26@51.la,DMGMT
80,Matthew,Watt,matthew.watt80,kP1.(1HN\,tvigours27@ca.gov,CLL
81,Robert,Heisenberg,robert.heisenberg81,wW4$EF%/(K/gmO0O,wgriston28@disqus.com,DFILM
82,Sophia,Turing,sophia.turing82,rR7*hKnore_u,apattrick29@amazon.co.jp,DCFA
83,Amelia,Cavendish,amelia.cavendish83,nE9_+L*&j?y@,bhaberjam2a@opera.com,DEDU
84,William,Schrodinger,william.schrodinger84,oW2_~iLn+2Q,jmorgue2b@google.ru,DFOOD
85,Sophia,Von Neumann,sophia.von neumann85,"mI1?OcI*>~RV,g",vjoska2c@taobao.com,DGEO
86,Emma,Ohm,emma.ohm86,sW5(A@.F&Sw6lRKI,ljandac2d@tripod.com,DAEE
87,Mia,Boltzmann,mia.boltzmann87,iA7.o/eZ)7lBG,aashleigh2e@mayoclinic.com,DFILM
88,Isabella,Gell-Mann,isabella.gell-mann88,"rQ2_,""()#E=+",candreia2f@sogou.com,DLIT
89,William,Leibniz,william.leibniz89,"hC3=K""IP.\>!k,@3",cmcness2g@cmu.edu,DHIST
90,Andrew,Raman,andrew.raman90,nY8_7dp$\cbkm,kquan2h@comcast.net,DCEE
91,Amelia,Ohm,amelia.ohm91,uX7<NK.G&++<T8Zx,abraznell2i@spotify.com,DCE
92,Mia,Babbage,mia.babbage92,yA5|Q/t>g=Vh,grosettini2j@microsoft.com,DMME
93,David,Keppler,david.keppler93,yP3}tT|e,fbalchin2k@bing.com,DMS
94,Charlotte,Lagrange,charlotte.lagrange94,rR1_/a{Q,etindley2l@dell.com,DCHEM
95,Harper,Huygens,harper.huygens95,aA2>PYx/,ashann2m@hc360.com,DPHYS
96,Mia,Young,mia.young96,iT0$1h'iBl$46MT.,vliddel2n@nymag.com,DLS
97,Joseph,Bohr,joseph.bohr97,dC0?q6P|~Dl,pboud2o@barnesandnoble.com,DCIT
98,Michael,Euler,michael.euler98,lV7}CkH't8,acantera2p@icio.us,DPOL
99,William,Ohm,william.ohm99,qB0}m{!CJMc6j,qbayman2q@networksolutions.com,DBS
100,Charlotte,Huygens,charlotte.huygens100,"vV7$T,.7?L|a/",amacgragh2r@soup.io,DLAW
