studentID,firstName,lastName,username,password,email,program1,program2
816038902,Laurella,Ianni,laurella.ianni,pZ4$whk*dRK8C,lianni1p@fc2.com,Computer Science Special,
816039910,Aridatha,Beese,aridatha.beese,lI3?/+QI,abeese1q@sourceforge.net,Political Science,Chemistry Minor
816039027,Brit,Blewmen,brit.blewmen,"wU4.""1""O~mv&""",bblewmen1r@state.gov,Education Primary General,
816037183,Bridie,Walding,bridie.walding,nY5+ICItM,bwalding1s@aboutads.info,Mechanical Engineering,Biochemistry Minor
816039026,Josias,Jankovsky,josias.jankovsky,fF4=&_pnV,jjankovsky1t@accuweather.com,History,
816039310,Alfy,Held,alfy.held,iX5\4i@&{VQDx,aheld1u@alexa.com,Computer Science Special,
816037756,Sergeant,Kisbey,sergeant.kisbey,"nQ8,P!V*r#TIsoNC",skisbey1v@reference.com,Nursing,
816036316,Booth,Dowdney,booth.dowdney,"yJ3=ELI>x*,TI",bdowdney1w@google.com,Sociology,
816031799,Francoise,Hinrichsen,francoise.hinrichsen,tD3}eO$}L,fhinrichsen1x@live.com,Art History,Political Science Minor
816030097,Arabele,Benterman,arabele.benterman,hI0~oOe(7yJzx&1,abenterman1y@furl.net,Mechanical Engineering,
816035970,Pavel,Lynde,pavel.lynde,"eW9,gINS",plynde1z@imdb.com,Mechanical Engineering,
816032348,Juieta,Ebbage,juieta.ebbage,vZ3)d{d$9X/~6!c,jebbage20@mtv.com,Political Science,Biochemistry Minor
816030852,Kala,Brute,kala.brute,cV5@Ruan)$m~q9,kbrute21@deliciousdays.com,Psychology Major,Political Science Minor
816030286,Sonny,Tremouille,sonny.tremouille,mC0`2Z>f,stremouille22@acquirethisname.com,History,
816035054,Allys,Axby,allys.axby,"aJ9'*!R,k7>a",aaxby23@exblog.jp,Political Science,Mathematics Minor
816032698,Alie,Travers,alie.travers,fA0&0i&_,atravers24@etsy.com,Art History,
816037482,Giulio,Barlie,giulio.barlie,oG2&5j>Jk_L,gbarlie25@baidu.com,Mechanical Engineering,Mathematics Minor
816031600,Conroy,Cargon,conroy.cargon,mS8?cfMfz=*=s_,ccargon26@blogspot.com,Chemistry,
816035854,Duane,Lates,duane.lates,kP1{wbMB,dlates27@tamu.edu,Art History,Chemistry Minor
816039298,Domini,Miller,domini.miller,oH0`)a`Ue@#yMW,dmiller28@sina.com.cn,Electrical Engineering,Mathematics Minor
816037035,Sonny,Jouannin,sonny.jouannin,rQ1<dU>x,sjouannin29@buzzfeed.com,Marketing Major,
816035788,Minne,Reboul,minne.reboul,aE0\kNWI5,mreboul2a@nps.gov,Environmental Science,
816033354,Edmon,Presley,edmon.presley,"bB2&8b~0*""oz",epresley2b@cbsnews.com,Mechanical Engineering,
816038528,Terence,Kenefick,terence.kenefick,hS1}i0.2,tkenefick2c@state.tx.us,Economics,
816038763,Loni,Grzeszczak,loni.grzeszczak,oF8#6F}`@IxhV'T,lgrzeszczak2d@bandcamp.com,Biomedical Technology Special,Electronics Minor
816034848,Dorris,Beaglehole,dorris.beaglehole,dT5'wCRXR>+$Ka},dbeaglehole2e@hao123.com,Actuarial Science,
816037562,Rivalee,Marlen,rivalee.marlen,jR0$8bvhCO#,rmarlen2f@ucsd.edu,Biomedical Technology Special,
816031247,Korella,Veregan,korella.veregan,gZ7>Zw/Pvw,kveregan2g@xing.com,Economics,
816032804,Jessalyn,Tother,jessalyn.tother,zU0$36k(,jtother2h@about.com,Marketing Major,
816038842,Efren,Dissman,efren.dissman,"lV9~(j""G6D3um",edissman2i@zimbio.com,Business Administration,
816038311,Odelia,Sloley,odelia.sloley,"tC1(.4.eV""U@NpR",osloley2j@wix.com,Marketing Major,
816039231,Jordana,Prestie,jordana.prestie,"lJ3,GC}#G0",jprestie2k@imdb.com,Agriculture,
816036367,Piggy,Rosa,piggy.rosa,vQ0..c`7j,prosa2l@blog.com,Geography Major,
816036113,Gherardo,Mawtus,gherardo.mawtus,jW4{6KKv,gmawtus2m@51.la,Sociology,
816030522,Marcus,Minkin,marcus.minkin,cE5`%=I~#I.(Aufe,mminkin2n@tuttocitta.it,Marketing Major,
816033978,Chris,Mildner,chris.mildner,uD2+bCf?p',cmildner2o@miibeian.gov.cn,Mechanical Engineering,Biochemistry Minor
816037851,Urban,Blance,urban.blance,rT5+@DTd,ublance2p@narod.ru,Biomedical Technology Special,Mathematics Minor
816039603,Ailbert,Dole,ailbert.dole,vF7`t+UsGBE,adole2q@addthis.com,Political Science,
816030022,Addison,Grunwall,addison.grunwall,oO3?!tINBTk,agrunwall2r@discovery.com,Environmental Science,
